9.1387 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
124.5758 	EXP 	grating: autoDraw = False
125.0471 	EXP 	New trial (rep=39, index=0): None
125.0491 	DATA 	Keypress: down
125.0589 	EXP 	fixation: autoDraw = False
125.0589 	EXP 	grating: autoDraw = False
125.0589 	EXP 	grating: ori = -2.0
125.0589 	EXP 	fixation: autoDraw = True
126.0588 	EXP 	fixation: autoDraw = False
126.0588 	EXP 	grating: autoDraw = True
126.3587 	EXP 	grating: autoDraw = False
126.8318 	EXP 	New trial (rep=40, index=0): None
126.8367 	DATA 	Keypress: up
126.8422 	EXP 	fixation: autoDraw = False
126.8422 	EXP 	grating: autoDraw = False
126.8422 	EXP 	grating: ori = 0.0
126.8422 	EXP 	fixation: autoDraw = True
127.8422 	EXP 	fixation: autoDraw = False
127.8422 	EXP 	grating: autoDraw = True
128.1420 	EXP 	grating: autoDraw = False
128.9985 	EXP 	New trial (rep=41, index=0): None
129.0011 	DATA 	Keypress: up
129.0084 	EXP 	fixation: autoDraw = False
129.0084 	EXP 	grating: autoDraw = False
129.0084 	EXP 	grating: ori = 1.0
129.0084 	EXP 	fixation: autoDraw = True
130.0090 	EXP 	fixation: autoDraw = False
130.0090 	EXP 	grating: autoDraw = True
130.3086 	EXP 	grating: autoDraw = False
131.1619 	EXP 	New trial (rep=42, index=0): None
131.1641 	DATA 	Keypress: up
131.1758 	EXP 	fixation: autoDraw = False
131.1758 	EXP 	grating: autoDraw = False
131.1758 	EXP 	grating: ori = 0.0
131.1758 	EXP 	fixation: autoDraw = True
132.1749 	EXP 	grating: autoDraw = True
132.1918 	EXP 	fixation: autoDraw = False
132.4751 	EXP 	grating: autoDraw = False
132.8019 	EXP 	New trial (rep=43, index=0): None
132.8040 	DATA 	Keypress: up
132.8100 	EXP 	fixation: autoDraw = False
132.8100 	EXP 	grating: autoDraw = False
132.8100 	EXP 	grating: ori = -2.0
132.8100 	EXP 	fixation: autoDraw = True
133.8082 	EXP 	grating: autoDraw = True
133.8311 	EXP 	fixation: autoDraw = False
134.1085 	EXP 	grating: autoDraw = False
134.7481 	EXP 	New trial (rep=44, index=0): None
134.7507 	DATA 	Keypress: up
134.7580 	EXP 	fixation: autoDraw = False
134.7580 	EXP 	grating: autoDraw = False
134.7580 	EXP 	grating: ori = 4.0
134.7580 	EXP 	fixation: autoDraw = True
135.7580 	EXP 	fixation: autoDraw = False
135.7580 	EXP 	grating: autoDraw = True
136.0584 	EXP 	grating: autoDraw = False
136.3615 	EXP 	New trial (rep=45, index=0): None
136.3635 	DATA 	Keypress: down
136.3748 	EXP 	fixation: autoDraw = False
136.3748 	EXP 	grating: autoDraw = False
136.3748 	EXP 	grating: ori = 0.0
136.3748 	EXP 	fixation: autoDraw = True
137.3749 	EXP 	fixation: autoDraw = False
137.3749 	EXP 	grating: autoDraw = True
137.6911 	EXP 	grating: autoDraw = False
138.0803 	EXP 	New trial (rep=46, index=0): None
138.0818 	DATA 	Keypress: up
138.0912 	EXP 	fixation: autoDraw = False
138.0912 	EXP 	grating: autoDraw = False
138.0912 	EXP 	grating: ori = 2.0
138.0912 	EXP 	fixation: autoDraw = True
139.0743 	EXP 	grating: autoDraw = True
139.0910 	EXP 	fixation: autoDraw = False
139.3746 	EXP 	grating: autoDraw = False
140.9966 	EXP 	New trial (rep=47, index=0): None
140.9986 	DATA 	Keypress: down
141.0076 	EXP 	fixation: autoDraw = False
141.0076 	EXP 	grating: autoDraw = False
141.0076 	EXP 	grating: ori = 0.0
141.0076 	EXP 	fixation: autoDraw = True
142.0082 	EXP 	fixation: autoDraw = False
142.0082 	EXP 	grating: autoDraw = True
142.3077 	EXP 	grating: autoDraw = False
143.8130 	EXP 	New trial (rep=48, index=0): None
143.8159 	DATA 	Keypress: up
143.8243 	EXP 	fixation: autoDraw = False
143.8243 	EXP 	grating: autoDraw = False
143.8243 	EXP 	grating: ori = 0.0
143.8243 	EXP 	fixation: autoDraw = True
144.8242 	EXP 	fixation: autoDraw = False
144.8242 	EXP 	grating: autoDraw = True
145.1241 	EXP 	grating: autoDraw = False
145.8237 	EXP 	New trial (rep=49, index=0): None
145.8255 	DATA 	Keypress: up
145.8405 	EXP 	fixation: autoDraw = False
145.8405 	EXP 	grating: autoDraw = False
145.8405 	EXP 	grating: ori = 2.0
145.8405 	EXP 	fixation: autoDraw = True
146.8241 	EXP 	grating: autoDraw = True
146.8446 	EXP 	fixation: autoDraw = False
147.1241 	EXP 	grating: autoDraw = False
147.4293 	EXP 	New trial (rep=50, index=0): None
147.4312 	DATA 	Keypress: up
147.4405 	EXP 	fixation: autoDraw = False
147.4405 	EXP 	grating: autoDraw = False
147.4405 	EXP 	grating: ori = 1.0
147.4405 	EXP 	fixation: autoDraw = True
148.4419 	EXP 	fixation: autoDraw = False
148.4419 	EXP 	grating: autoDraw = True
148.7572 	EXP 	grating: autoDraw = False
149.2164 	EXP 	New trial (rep=51, index=0): None
149.2179 	DATA 	Keypress: up
149.2285 	EXP 	fixation: autoDraw = False
149.2285 	EXP 	grating: autoDraw = False
149.2285 	EXP 	grating: ori = -5.0
149.2285 	EXP 	fixation: autoDraw = True
150.2237 	EXP 	grating: autoDraw = True
150.2404 	EXP 	fixation: autoDraw = False
150.5241 	EXP 	grating: autoDraw = False
150.8293 	EXP 	New trial (rep=52, index=0): None
150.8317 	DATA 	Keypress: down
150.8404 	EXP 	fixation: autoDraw = False
150.8404 	EXP 	grating: autoDraw = False
150.8404 	EXP 	grating: ori = 0.0
150.8404 	EXP 	fixation: autoDraw = True
151.8402 	EXP 	fixation: autoDraw = False
151.8402 	EXP 	grating: autoDraw = True
152.1402 	EXP 	grating: autoDraw = False
152.4793 	EXP 	New trial (rep=53, index=0): None
152.4809 	DATA 	Keypress: up
152.4902 	EXP 	fixation: autoDraw = False
152.4902 	EXP 	grating: autoDraw = False
152.4902 	EXP 	grating: ori = 0.0
152.4902 	EXP 	fixation: autoDraw = True
153.4902 	EXP 	fixation: autoDraw = False
153.4902 	EXP 	grating: autoDraw = True
153.7901 	EXP 	grating: autoDraw = False
154.0311 	EXP 	New trial (rep=54, index=0): None
154.0342 	DATA 	Keypress: up
154.0414 	EXP 	fixation: autoDraw = False
154.0414 	EXP 	grating: autoDraw = False
154.0414 	EXP 	grating: ori = 0.0
154.0414 	EXP 	fixation: autoDraw = True
155.0401 	EXP 	grating: autoDraw = True
155.0570 	EXP 	fixation: autoDraw = False
155.3400 	EXP 	grating: autoDraw = False
155.5274 	EXP 	New trial (rep=55, index=0): None
155.5299 	DATA 	Keypress: up
155.5400 	EXP 	fixation: autoDraw = False
155.5400 	EXP 	grating: autoDraw = False
155.5400 	EXP 	grating: ori = 0.0
155.5400 	EXP 	fixation: autoDraw = True
156.5398 	EXP 	fixation: autoDraw = False
156.5398 	EXP 	grating: autoDraw = True
156.8403 	EXP 	grating: autoDraw = False
156.9973 	EXP 	New trial (rep=56, index=0): None
156.9994 	DATA 	Keypress: up
157.0066 	EXP 	fixation: autoDraw = False
157.0066 	EXP 	grating: autoDraw = False
157.0066 	EXP 	grating: ori = 0.0
157.0066 	EXP 	fixation: autoDraw = True
158.0065 	EXP 	fixation: autoDraw = False
158.0065 	EXP 	grating: autoDraw = True
158.3066 	EXP 	grating: autoDraw = False
158.5265 	EXP 	New trial (rep=57, index=0): None
158.5280 	DATA 	Keypress: up
158.5397 	EXP 	fixation: autoDraw = False
158.5397 	EXP 	grating: autoDraw = False
158.5397 	EXP 	grating: ori = 3.0
158.5397 	EXP 	fixation: autoDraw = True
159.5399 	EXP 	fixation: autoDraw = False
159.5399 	EXP 	grating: autoDraw = True
159.8396 	EXP 	grating: autoDraw = False
160.1137 	EXP 	New trial (rep=58, index=0): None
160.1160 	DATA 	Keypress: down
160.1229 	EXP 	fixation: autoDraw = False
160.1229 	EXP 	grating: autoDraw = False
160.1229 	EXP 	grating: ori = 0.0
160.1229 	EXP 	fixation: autoDraw = True
161.1231 	EXP 	fixation: autoDraw = False
161.1231 	EXP 	grating: autoDraw = True
161.4254 	EXP 	grating: autoDraw = False
161.7927 	DATA 	Keypress: up
161.8191 	EXP 	New trial (rep=59, index=0): None
161.8264 	EXP 	fixation: autoDraw = False
161.8264 	EXP 	grating: autoDraw = False
161.8264 	EXP 	grating: ori = 3.0
161.8264 	EXP 	fixation: autoDraw = True
162.8229 	EXP 	grating: autoDraw = True
162.8396 	EXP 	fixation: autoDraw = False
163.1229 	EXP 	grating: autoDraw = False
163.8450 	EXP 	New trial (rep=60, index=0): None
163.8471 	DATA 	Keypress: down
163.8560 	EXP 	fixation: autoDraw = False
163.8560 	EXP 	grating: autoDraw = False
163.8560 	EXP 	grating: ori = 0.0
163.8560 	EXP 	fixation: autoDraw = True
164.8561 	EXP 	fixation: autoDraw = False
164.8561 	EXP 	grating: autoDraw = True
165.1559 	EXP 	grating: autoDraw = False
